"Obs","doby","male","raceeth","lifetime_earn","slifetime_earn","weight"
"402",1936,0,1,460432.68,1129517.45,2.50983
"406",1936,0,1,825027.06,2123500.21,2.50983
"409",1936,0,2,608358.30,215767.89,2.50983
"410",1936,0,2,608358.30,83732.61,2.50983
"416",1936,0,2,1169567.15,801591.13,2.50983
"419",1936,0,1,95585.94,1603947.76,2.50983
"421",1936,0,1,164101.96,2571264.37,2.50983
"423",1936,0,1,981692.78,1438785.88,2.50983
"426",1936,0,1,1185070.53,1588427.56,2.50983
"427",1936,0,1,720583.24,1835791.83,2.50983
"430",1936,0,1,457202.46,3461703.41,2.50983
"433",1936,0,1,19347.68,398848.18,2.50983
"434",1936,0,1,269529.98,601586.61,2.50983
"435",1936,0,1,846814.23,1807754.52,2.50983
"436",1936,0,1,754500.57,1414634.93,2.50983
"448",1936,0,1,236092.15,3141028.26,2.50983
"449",1936,0,1,236092.15,3141028.26,2.50983
"451",1936,0,1,1169567.15,160484.78,2.50983
"454",1936,0,1,1174471.36,4769152.20,2.50983
"455",1936,0,1,1602315.82,2824508.66,2.50983
"456",1936,0,1,1602315.82,2824508.66,2.50983
"457",1936,0,4,1099663.14,906985.51,2.50983
"466",1936,0,3,42935.02,69861.94,2.50983
"467",1936,0,1,191129.82,798924.52,2.50983
"468",1936,0,1,191129.82,2112749.64,2.50983
"469",1936,0,3,237993.27,375370.19,2.50983
"470",1936,0,3,237993.27,375370.19,2.50983
"475",1936,0,1,457202.46,2622552.54,2.50983
"476",1936,0,1,581086.48,2261474.40,2.50983
"479",1936,0,1,78030.03,894712.35,2.50983
"480",1936,0,2,284377.22,1082460.54,2.50983
"481",1936,0,2,284377.22,1082460.54,2.50983
"482",1936,0,1,1265094.21,1602130.76,2.50983
"483",1936,0,1,1265094.21,1602130.76,2.50983
"484",1936,0,1,581086.48,138958.39,2.50983
"485",1936,0,4,55738.14,4396061.67,2.50983
"486",1936,0,4,55738.14,1085329.04,2.50983
"487",1936,0,4,55738.14,95131.69,2.50983
"490",1936,0,1,983568.66,1356263.83,2.50983
"491",1936,0,1,983568.66,1356263.83,2.50983
"497",1936,0,2,909610.06,1949421.58,2.50983
"498",1936,0,2,909610.06,719834.57,2.50983
"499",1936,0,2,909610.06,2344812.42,2.50983
"505",1936,0,1,400833.42,4480720.38,2.50983
"507",1936,0,1,400833.42,4480720.38,2.50983
"509",1936,0,1,400833.42,4480720.38,2.50983
"513",1936,0,1,19347.68,373157.83,2.50983
"514",1936,0,1,19347.68,350621.99,2.50983
"515",1936,0,1,457202.46,816076.65,2.50983
"517",1936,0,1,78030.03,1521316.35,2.50983
"519",1936,0,1,636345.14,1577500.32,2.50983
